source_dataset,canonical_name,original_column
broken.csv,location_id,location_id
broken.csv,broken,broken
sales-data.csv,date,date
sales-data.csv,location_id,location_id
sales-data.csv,building_type,building_type
sales-data.csv,distance_to_store,distance_to_store
sales-data.csv,temperature,temperature
sales-data.csv,humidity,humidity
sales-data.csv,weekend,weekend
sales-data.csv,club_activity_day,club_activity_day
sales-data.csv,indoor,indoor
sales-data.csv,sales,sales
candidate-location.csv,date,date
candidate-location.csv,location_id,location_id
candidate-location.csv,building_type,building_type
candidate-location.csv,distance_to_store,distance_to_store
candidate-location.csv,temperature,temperature
candidate-location.csv,humidity,humidity
candidate-location.csv,weekend,weekend
candidate-location.csv,club_activity_day,club_activity_day
candidate-location.csv,indoor,indoor
