effectiveness,threshold,cameras_installed,installation_cost,remaining_expected_vandalism_loss,total_expected_cost
0.0,,0,0,4984121.014450263,4984121.014450263
0.1,2.0,0,0,4984121.014450263,4984121.014450263
0.2,1.0,0,0,4984121.014450263,4984121.014450263
0.3,0.6666666666666667,0,0,4984121.014450263,4984121.014450263
0.4,0.5,387,774000,4157825.1956942417,4931825.195694242
0.5,0.4,1000,2000000,2492060.5072251325,4492060.507225133
0.6,0.33333333333333337,1000,2000000,1993648.4057801059,3993648.405780106
0.7,0.28571428571428575,1000,2000000,1495236.3043350792,3495236.304335079
0.8,0.25,1000,2000000,996824.2028900525,2996824.2028900525
0.9,0.22222222222222224,1000,2000000,498412.10144502576,2498412.1014450258
1.0,0.2,1000,2000000,0.0,2000000.0
